query,cold_sec,warm_sec,hot_sec,notes
0,0.011,0.000,0.001,
1,0.224,0.004,0.003,
2,0.659,0.004,0.004,
3,0.697,0.004,0.004,
4,0.472,0.013,0.011,
5,1.959,0.021,0.021,
6,0.181,0.004,0.003,
7,0.248,0.005,0.004,
8,0.956,0.133,0.133,
9,1.242,0.137,0.137,
10,1.448,0.017,0.016,
11,1.504,0.022,0.022,
12,1.647,0.019,0.018,
13,2.168,0.126,0.126,
14,1.835,0.019,0.019,
15,0.495,0.016,0.016,
16,2.094,0.033,0.033,
17,2.098,0.031,0.030,
18,3.063,0.050,0.051,
19,0.449,0.004,0.004,
20,7.713,0.041,0.041,
21,7.640,0.014,0.014,
22,15.538,0.033,0.031,
23,66.132,0.065,0.070,
24,2.371,0.012,0.011,
25,1.590,0.010,0.010,
26,2.141,0.010,0.008,
27,7.887,0.194,0.191,
28,8.836,0.312,0.311,JIT works on cudf 26.02
29,0.482,0.035,0.033,
30,2.794,0.015,0.014,
31,3.653,0.022,0.022,
32,1.553,0.118,0.118,
33,6.091,0.082,0.081,
34,6.129,0.087,0.085,
35,0.441,0.027,0.026,
36,6.484,0.007,0.007,
37,7.660,0.006,0.006,
38,6.422,0.005,0.005,
39,13.702,0.010,0.010,
40,3.014,0.005,0.006,
41,1.931,0.005,0.005,
42,,,,
